street_name,city,price,bedroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type
Inwood St,Queens,649000.0,3.0,479.0,1353.0,2600.0,sqft,SINGLE_FAMILY
38 142nd St,Queens,649000.0,3.0,,,,,SINGLE_FAMILY
49 145th Street,Queens,459000.0,2.0,,,1408.0,sqft,SINGLE_FAMILY
(undisclosed Address),Queens,595000.0,3.0,,,2300.0,sqft,SINGLE_FAMILY
48 147th Street,Queens,575000.0,4.0,,,1600.0,sqft,SINGLE_FAMILY
19 144th Street,Queens,749000.0,4.0,416.0,1800.0,2668.0,sqft,MULTI_FAMILY
15 140th Street,Queens,499999.0,2.0,,,2000.0,sqft,SINGLE_FAMILY
05 134th St #1,Queens,2350000.0,15.0,469.0,5002.0,,,APARTMENT
12 148th Street,Queens,630000.0,8.0,,,2000.0,sqft,MULTI_FAMILY
15 83rd Ave APT 309,Queens,299000.0,2.0,,,,,CONDO
40 146th Street,Queens,615000.0,3.0,,,2400.0,sqft,SINGLE_FAMILY
05 135th Street,Queens,2350000.0,15.0,469.0,5002.0,2370.0,sqft,MULTI_FAMILY
41 135th Avenue,Queens,499000.0,2.0,,,3800.0,sqft,SINGLE_FAMILY
Burden Cres APT 306,Queens,249000.0,1.0,,,,,CONDO
38 84 Road,Queens,1888888.0,4.0,1165.0,1620.0,3500.0,sqft,SINGLE_FAMILY
84th Rd,Queens,1695000.0,0.0,973.0,1742.0,3335.0,sqft,SINGLE_FAMILY
17 Glassboro Avenue,Queens,625000.0,2.0,,,2002.0,sqft,SINGLE_FAMILY
17 84th Dr #7H,Queens,184000.0,0.0,306.0,600.0,,,CONDO
95 Burden Crescent,Queens,998000.0,4.0,597.0,1670.0,2500.0,sqft,SINGLE_FAMILY
46 Waltham Street,Queens,1800000.0,4.0,,,10000.0,sqft,SINGLE_FAMILY
09 Pinegrove Street,Queens,725000.0,4.0,458.0,1580.0,2500.0,sqft,SINGLE_FAMILY
15 Main St #11F,Queens,258888.0,1.0,258.0,1000.0,,,APARTMENT
84th Dr #1C,Queens,299000.0,2.0,,,,,CONDO
31 Van Wyck Expwy UNIT 3C,Queens,325000.0,2.0,,,,,CONDO
84th Dr #H7,Queens,184000.0,0.0,320.0,575.0,,,SINGLE_FAMILY
9 84th Dr #206,Queens,235000.0,1.0,324.0,725.0,,,CONDO
15 83rd Ave #508,Queens,338000.0,2.0,333.0,1015.0,,,CONDO
01 Main Street UNIT 701,Queens,246000.0,1.0,,,,,CONDO
12 Tuskegee Airmen Way,Queens,325000.0,0.0,406.0,800.0,1999.0,sqft,SINGLE_FAMILY
01 Main St #121,Queens,155000.0,0.0,310.0,500.0,,,CONDO
11 Shore Avenue,Queens,789000.0,4.0,497.0,1587.0,2500.0,sqft,SINGLE_FAMILY
21 85 Drive UNIT 2B,Queens,295000.0,2.0,,,,,CONDO
05 Pershing Cres #612,Queens,260000.0,2.0,260.0,1000.0,,,CONDO
52 139th St,Queens,729000.0,3.0,569.0,1280.0,1742.0,sqft,SINGLE_FAMILY
40 87th Avenue,Queens,995000.0,4.0,497.0,2000.0,3000.0,sqft,SINGLE_FAMILY
Coolidge Ave,Queens,799000.0,3.0,624.0,1280.0,2300.0,sqft,MULTI_FAMILY
15 Main Street UNIT 1B,Queens,349000.0,3.0,,,,,CONDO
06 85th Street,Queens,865000.0,3.0,,,2000.0,sqft,TOWNHOUSE
11 Ferndale Avenue,Queens,1100000.0,5.0,,,2376.0,sqft,MULTI_FAMILY
16 116th Rd,Queens,540000.0,3.0,482.0,1120.0,2086.0,sqft,SINGLE_FAMILY
17 143rd Street,Queens,1299000.0,8.0,,,2500.0,sqft,MULTI_FAMILY
29 145th St #TOM,Queens,1100000.0,6.0,572.0,1920.0,,,MULTI_FAMILY
57 Charter Road UNIT 26GA,Queens,279000.0,1.0,372.0,750.0,,,CONDO
02 Sutter Avenue,Queens,399000.0,2.0,,,1700.0,sqft,SINGLE_FAMILY
12 Remington Street,Queens,1299000.0,5.0,564.0,2300.0,3000.0,sqft,MULTI_FAMILY
62 Rockaway Boulevard,Queens,679000.0,3.0,,,1720.0,sqft,MULTI_FAMILY
25 143rd Street,Queens,799000.0,3.0,,,3190.0,sqft,SINGLE_FAMILY
17 140th Street,Queens,499990.0,2.0,,,1900.0,sqft,SINGLE_FAMILY
14 Village Rd #93A,Queens,215000.0,1.0,,,,,CONDO
30 147th Street,Queens,670000.0,4.0,505.0,1326.0,2500.0,sqft,SINGLE_FAMILY
15 83rd Avenue UNIT 707,Queens,295000.0,2.0,,,,,CONDO
145th St,Queens,669000.0,3.0,557.0,1200.0,2178.0,sqft,SINGLE_FAMILY
05 Pershing Cres APT 316,Queens,335000.0,2.0,304.0,1100.0,,,CONDO
12 140th Street,Queens,590000.0,2.0,,,2375.0,sqft,MULTI_FAMILY
116th Ave,Queens,295000.0,2.0,535.0,551.0,3606.0,sqft,SINGLE_FAMILY
29 138th Street,Queens,1399900.0,10.0,,,2500.0,sqft,MULTI_FAMILY
39 148th Street,Queens,699000.0,3.0,476.0,1468.0,2367.0,sqft,SINGLE_FAMILY
27 139 Street,Queens,1158000.0,7.0,586.0,1976.0,2300.0,sqft,MULTI_FAMILY
47 148th St,Queens,505000.0,2.0,476.0,1060.0,2321.0,sqft,SINGLE_FAMILY
Coolidge Ave,Queens,1275000.0,5.0,472.0,2700.0,2000.0,sqft,MULTI_FAMILY
27 146th Street,Queens,799000.0,3.0,,,4000.0,sqft,MULTI_FAMILY
142nd Pl,Queens,579000.0,3.0,165.0,3500.0,1598.0,sqft,SINGLE_FAMILY
142nd Street,Queens,749000.0,4.0,,,3938.0,sqft,MULTI_FAMILY
01 141st Street,Queens,1279000.0,6.0,,,3306.0,sqft,MULTI_FAMILY
19 Rockaway Boulevard,Queens,699900.0,3.0,364.0,1920.0,1083.0,sqft,SINGLE_FAMILY
34 143rd Street,Queens,561000.0,3.0,288.0,1946.0,1946.0,sqft,SINGLE_FAMILY
41 143rd Street,Queens,1065000.0,5.0,,,4342.0,sqft,MULTI_FAMILY
47 Sutter Avenue,Queens,650000.0,4.0,,,3108.0,sqft,MULTI_FAMILY
40 142nd Pl #1,Queens,649000.0,3.0,,,,,CONDO
04 Linden Boulevard,Queens,469990.0,2.0,,,2000.0,sqft,SINGLE_FAMILY
26 146th Street,Queens,765000.0,4.0,489.0,1564.0,4000.0,sqft,MULTI_FAMILY
05 130th Avenue,Queens,799000.0,4.0,470.0,1700.0,4000.0,sqft,SINGLE_FAMILY
15 Linden Boulevard,Queens,719000.0,4.0,,,1840.0,sqft,MULTI_FAMILY
38 142nd Street,Queens,489000.0,6.0,,,4000.0,sqft,MULTI_FAMILY
34 122nd Avenue,Queens,979000.0,6.0,,,3017.0,sqft,MULTI_FAMILY
10 133 Avenue,Queens,699777.0,3.0,607.0,1152.0,2442.0,sqft,MULTI_FAMILY
02 119th Avenue,Queens,599000.0,4.0,,,2200.0,sqft,SINGLE_FAMILY
17 144th Street,Queens,649000.0,5.0,,,2800.0,sqft,MULTI_FAMILY
17 148th Street,Queens,579000.0,3.0,,,2000.0,sqft,SINGLE_FAMILY
32 140th St,Queens,650000.0,2.0,520.0,1248.0,2278.0,sqft,SINGLE_FAMILY
08 143rd Street,Queens,549999.0,3.0,,,1470.0,sqft,SINGLE_FAMILY
30 143rd Street,Queens,699000.0,4.0,459.0,1520.0,1866.0,sqft,MULTI_FAMILY
15 143 Street,Queens,574000.0,3.0,,,3000.0,sqft,SINGLE_FAMILY
22 143rd Street,Queens,669000.0,4.0,374.0,1785.0,2300.0,sqft,SINGLE_FAMILY
26 142nd Place,Queens,475000.0,3.0,,,2500.0,sqft,SINGLE_FAMILY
142nd St,Queens,759000.0,3.0,481.0,1576.0,2914.0,sqft,MULTI_FAMILY
43 148th Street,Queens,200000.0,4.0,,,2300.0,sqft,MULTI_FAMILY
27 88th Ave,Queens,1200000.0,8.0,,,2150.0,sqft,MULTI_FAMILY
N Conduit Ave,Queens,934999.0,6.0,853.0,1095.0,4144.0,sqft,MULTI_FAMILY
12 107th Avenue,Queens,675000.0,4.0,,,2500.0,sqft,SINGLE_FAMILY
32 142nd Street,Queens,565000.0,3.0,,,1997.0,sqft,SINGLE_FAMILY
22 Village Road UNIT 82 C,Queens,252888.0,2.0,,,,,CONDO
37 140th Street,Queens,949000.0,6.0,,,4000.0,sqft,MULTI_FAMILY
25 84th Drive UNIT 1E,Queens,199000.0,0.0,,,,,CONDO
17 109th Avenue,Queens,575000.0,3.0,504.0,1140.0,1710.0,sqft,TOWNHOUSE
05 Pershing Cres #402,Queens,199900.0,1.0,266.0,750.0,,,CONDO
08 84th Road,Queens,1480000.0,3.0,,,4300.0,sqft,SINGLE_FAMILY
24 Village Rd #81B,Queens,225000.0,2.0,,,,,CONDO
14 84th Road UNIT 4F,Queens,242000.0,2.0,295.0,820.0,,,CONDO
38 144 Place,Queens,1200000.0,5.0,735.0,1632.0,3700.0,sqft,MULTI_FAMILY
09 139th Street,Queens,719000.0,3.0,,,1940.0,sqft,SINGLE_FAMILY
20 141st St #6C,Queens,229000.0,1.0,0.0,253180.0,2.21,acres,CONDO
15 Main St #7B,Queens,154888.0,0.0,364.0,425.0,,,APARTMENT
18 116 Avenue,Queens,1259000.0,6.0,,,4757.0,sqft,MULTI_FAMILY
39 Hoover Ave #14739,Queens,650000.0,2.0,,,,,CONDO
23 144th Street,Queens,1499000.0,6.0,757.0,1980.0,4500.0,sqft,MULTI_FAMILY
01 Main St APT 320,Queens,245000.0,1.0,306.0,800.0,,,CONDO
46 Grand Central Parkway UNIT 3C,Queens,599999.0,2.0,788.0,761.0,,,CONDO
27 135th St #1,Queens,1375000.0,4.0,748.0,1836.0,,,APARTMENT
50 Lakewood Avenue,Queens,899000.0,4.0,,,3928.0,sqft,MULTI_FAMILY
48 143rd Street,Queens,769000.0,4.0,,,2340.0,sqft,SINGLE_FAMILY
44 141 Street,Queens,630000.0,3.0,,,4360.0,sqft,SINGLE_FAMILY
01 Main St APT 209,Queens,330000.0,2.0,347.0,950.0,,,CONDO
47 Charter Rd #9B,Queens,330000.0,2.0,275.0,1200.0,,,CONDO
20 Hoover Ave #404,Queens,472000.0,1.0,,,,,CONDO
04 Waltham Street,Queens,1189000.0,6.0,540.0,2200.0,2500.0,sqft,MULTI_FAMILY
15 83rd Avenue UNIT 223,Queens,499000.0,3.0,,,,,CONDO
86th Ave,Queens,699000.0,3.0,567.0,1232.0,2242.0,sqft,SINGLE_FAMILY
66 86th. Ave.,Queens,699000.0,3.0,,,2242.0,sqft,SINGLE_FAMILY
66 Village Rd #75D,Queens,265000.0,1.0,389.0,680.0,,,CONDO
55 Daniels St #6L,Queens,269000.0,1.0,,,,,CONDO
Burden Cres APT 6E,Queens,269000.0,1.0,349.0,770.0,,,CONDO
34 139th Street,Queens,1249000.0,5.0,,,2500.0,sqft,MULTI_FAMILY
20 Village Rd #65D,Queens,157700.0,2.0,,,,,CONDO
27 Charter Rd APT 18C,Queens,265000.0,2.0,,,,,CONDO
76 Village Rd APT 77A,Queens,215000.0,1.0,286.0,750.0,750.0,sqft,CONDO
24 95 Avenue,Queens,850000.0,3.0,,,2625.0,sqft,SINGLE_FAMILY
26 95 Avenue,Queens,850000.0,4.0,,,2625.0,sqft,SINGLE_FAMILY
17 84th Dr #6A,Queens,170000.0,0.0,340.0,500.0,,,CONDO
106th Avenue,Queens,525000.0,3.0,352.0,1488.0,3833.0,sqft,SINGLE_FAMILY
Colfax St,Queens,1199000.0,6.0,271.0,4417.0,4416.0,sqft,MULTI_FAMILY
23 113 Avenue,Queens,799000.0,4.0,,,3150.0,sqft,SINGLE_FAMILY
14 104th Avenue,Queens,689000.0,3.0,559.0,1232.0,3103.0,sqft,SINGLE_FAMILY
41 Francis Lewis Boulevard,Queens,948000.0,2.0,,,1600.0,sqft,SINGLE_FAMILY
34 211th Street,Queens,829000.0,4.0,,,4800.0,sqft,SINGLE_FAMILY
208th St,Queens,350000.0,3.0,240.0,1458.0,2918.0,sqft,SINGLE_FAMILY
113th Ave,Queens,1350000.0,6.0,1315.0,1026.0,4000.0,sqft,MULTI_FAMILY
