street_name,city,price,bedroom_number,price_per_unit,living_space,land_space,land_space_unit,property_type
06 Devonshire Rd APT 1J,Queens,239000.0,1.0,251.0,950.0,,,CONDO
35 35th Ave UNIT 6B,Queens,499800.0,1.0,,,,,CONDO
49 168th UNIT M1,Queens,420000.0,3.0,,,,,CONDO
11 163 Street,Queens,1870000.0,,,,0.2755,acres,LOT
20 185 Street,Queens,988000.0,4.0,,,4000.0,sqft,SINGLE_FAMILY
89th Ave,Queens,999000.0,6.0,302.0,3300.0,2613.0,sqft,MULTI_FAMILY
31 164th Street,Queens,1088000.0,3.0,944.0,1152.0,4000.0,sqft,SINGLE_FAMILY
20 Highland Ave #4H,Queens,135000.0,0.0,,,,,CONDO
10 Crocheron Avenue UNIT 6J,Queens,448000.0,2.0,,,,,CONDO
30 Barclay Avenue UNIT 3E,Queens,598000.0,2.0,,,,,CONDO
00 170th Street Street UNIT 8G,Queens,159000.0,1.0,177.0,895.0,,,CONDO
46 41 Avenue UNIT 7B,Queens,1580000.0,3.0,835.0,1890.0,,,CONDO
03 Utopia Parkway,Queens,3180000.0,4.0,775.0,4100.0,0.2617,acres,SINGLE_FAMILY
23 27th Avenue,Queens,1190000.0,4.0,401.0,2964.0,2200.0,sqft,MULTI_FAMILY
15 Henley Road,Queens,830000.0,,,,6000.0,sqft,LOT
25 Union Street UNIT E,Queens,655000.0,5.0,689.0,950.0,,,CONDO
31 Highland Avenue UNIT 2H,Queens,549000.0,2.0,549.0,1000.0,0.589,acres,CONDO
28 37th Avenue UNIT 2B,Queens,600000.0,1.0,923.0,650.0,,,CONDO
Grand Central Pkwy,Queens,1200000.0,5.0,368.0,3260.0,50.0,acres,MULTI_FAMILY
35 113th St APT 5M,Queens,637000.0,2.0,530.0,1200.0,,,CONDO
50 78th Avenue UNIT 1J,Queens,420000.0,2.0,,,,,CONDO
39 76th Rd #D5,Queens,345000.0,1.0,365.0,945.0,,,CONDO
16 Austin St #1E,Queens,269000.0,1.0,383.0,702.0,,,CONDO
20 Austin Street UNIT 2E,Queens,269000.0,1.0,373.0,720.0,,,CONDO
Station Sq APT 202,Queens,289000.0,1.0,,,,,CONDO
49 Union Turnpike UNIT 9B,Queens,848000.0,2.0,706.0,1200.0,,,CONDO
75th Ave APT 66,Queens,399900.0,1.0,470.0,850.0,,,CONDO
14 113th Street UNIT 3D,Queens,329000.0,1.0,,,,,CONDO
Ascan Ave APT 1K,Queens,327000.0,1.0,,,,,CONDO
20 73rd Ave #9C,Queens,390000.0,1.0,,,,,CONDO
11 Queens Blvd #16H,Queens,859000.0,2.0,660.0,1300.0,,,CONDO
81 113th Street UNIT 7O,Queens,449000.0,2.0,,,,,CONDO
20 72nd Dr #D68,Queens,220000.0,0.0,412.0,533.0,,,CONDO
50 169 Street UNIT 207,Queens,269000.0,2.0,283.0,950.0,,,CONDO
67 Village Rd #57A,Queens,225000.0,1.0,,,,,CONDO
21 Goethals Avenue,Queens,2389888.0,4.0,796.0,3000.0,6000.0,sqft,SINGLE_FAMILY
49 168th St. UNIT 1HA,Queens,235000.0,1.0,427.0,550.0,,,CONDO
09 Radnor Street,Queens,1725000.0,3.0,,,4984.0,sqft,SINGLE_FAMILY
70 173rd St #4F,Queens,115000.0,0.0,,,,,CONDO
84th Dr,Queens,1049000.0,6.0,228.0,4600.0,4600.0,sqft,MULTI_FAMILY
16 181st Street,Queens,815000.0,3.0,,,3040.0,sqft,SINGLE_FAMILY
02 171st Street,Queens,15000000.0,3.0,,,2200.0,sqft,SINGLE_FAMILY
26 175th Street UNIT 5A,Queens,449000.0,2.0,,,,,CONDO
167th St,Queens,648000.0,2.0,756.0,857.0,1659.0,sqft,SINGLE_FAMILY
00 170 Street UNIT K,Queens,164990.0,1.0,199.0,825.0,,,CONDO
12 33th Avenue 2FL,Queens,568000.0,3.0,,,,,CONDO
90 167th Street,Queens,648000.0,2.0,756.0,857.0,1660.0,sqft,SINGLE_FAMILY
Holder Pl APT 3C,Queens,785000.0,2.0,628.0,1250.0,,,CONDO
06 147 Street,Queens,1798000.0,6.0,,,2446.0,sqft,MULTI_FAMILY
Avon Rd,Queens,2575000.0,3.0,818.0,3146.0,4733.0,sqft,SINGLE_FAMILY
Austin St APT 6C,Queens,329000.0,1.0,410.0,802.0,,,CONDO
90th Ave,Queens,659888.0,3.0,104.0,6316.0,3135.0,sqft,SINGLE_FAMILY
33 Parsons Boulevard UNIT 8A,Queens,719000.0,2.0,,,,,CONDO
34 113th St #4H,Queens,369000.0,1.0,,,,,CONDO
15 90th Avenue,Queens,659888.0,3.0,296.0,2225.0,4000.0,sqft,SINGLE_FAMILY
38th Ave APT 9G,Queens,764000.0,2.0,1018.0,750.0,,,CONDO
Ascan Ave APT 6B,Queens,615000.0,2.0,473.0,1300.0,,,CONDO
29 90th Avenue,Queens,1389000.0,5.0,,,4000.0,sqft,MULTI_FAMILY
35 38 Ave UNIT B,Queens,339000.0,1.0,,,,,CONDO
81 113th Street UNIT 5M,Queens,425000.0,2.0,425.0,1000.0,,,CONDO
11 45th Avenue,Queens,1450000.0,5.0,,,1748.0,sqft,MULTI_FAMILY
40 Austin St APT 6CR,Queens,419000.0,2.0,441.0,950.0,,,CONDO
15 165th St #2A,Queens,140000.0,0.0,,,,,CONDO
27 Sanford Avenue UNIT 8L,Queens,775000.0,2.0,1119.0,692.0,,,CONDO
20 Queens Blvd #7A,Queens,339990.0,2.0,,,,,CONDO
187th St,Queens,999000.0,3.0,701.0,1424.0,4000.0,sqft,SINGLE_FAMILY
27 Sanford Avenue UNIT 6G,Queens,730000.0,2.0,1114.0,655.0,,,CONDO
Burns St APT 35,Queens,449000.0,1.0,,,,,CONDO
40 Kendrick Place,Queens,1495000.0,5.0,,,7350.0,sqft,SINGLE_FAMILY
27 Sanford Avenue UNIT 4J,Queens,538000.0,1.0,1093.0,492.0,,,CONDO
21 73rd Rd #3J,Queens,750000.0,3.0,468.0,1600.0,,,CONDO
50 35th Avenue UNIT 7J,Queens,337000.0,1.0,,,,,CONDO
14 113 Street UNIT 4B,Queens,709000.0,3.0,,,,,CONDO
05 Roosevelt Avenue UNIT 624,Queens,535000.0,3.0,411.0,1300.0,,,CONDO
Station Sq APT 406,Queens,199000.0,0.0,442.0,450.0,,,CONDO
40 165 Street,Queens,1649000.0,5.0,,,6000.0,sqft,SINGLE_FAMILY
Continental Ave APT 4A,Queens,389000.0,0.0,,,,,CONDO
18 38th Ave APT 2B,Queens,308000.0,1.0,385.0,800.0,,,CONDO
62 Bowne Street UNIT 10A,Queens,820000.0,2.0,1171.0,700.0,0.3444,acres,CONDO
Austin Street UNIT 4H,Queens,695000.0,3.0,,,,,CONDO
62 Bowne Street UNIT 8E,Queens,830000.0,2.0,1172.0,708.0,0.3444,acres,CONDO
11 Queens Blvd #11B,Queens,1199000.0,3.0,,,,,CONDO
62 Bowne Street UNIT 9A,Queens,810000.0,2.0,1157.0,700.0,0.3444,acres,CONDO
45 Queens Blvd #1A,Queens,399000.0,0.0,,,,,APARTMENT
62 Bowne Street UNIT 8A,Queens,800000.0,2.0,1142.0,700.0,0.3444,acres,CONDO
20 Queens Boulevard UNIT 2,Queens,435000.0,2.0,334.0,1300.0,,,CONDO
62 Bowne Street UNIT 6A,Queens,770000.0,2.0,1100.0,700.0,0.3444,acres,CONDO
38 34th Ave #4E,Queens,738000.0,2.0,1054.0,700.0,,,CONDO
80 Sanford Avenue UNIT 2P,Queens,346000.0,1.0,393.0,880.0,,,CONDO
18 169th Street,Queens,1589000.0,5.0,,,6000.0,sqft,SINGLE_FAMILY
11 Parsons Boulevard UNIT 4K,Queens,349000.0,1.0,436.0,800.0,,,CONDO
27 Sanford Avenue UNIT 6E,Queens,595000.0,1.0,985.0,604.0,,,CONDO
27 Sanford Avenue UNIT 5M,Queens,655000.0,1.0,1141.0,574.0,,,CONDO
159th St,Queens,749000.0,3.0,273.0,2742.0,2739.0,sqft,SINGLE_FAMILY
27 Sanford Avenue UNIT 4E,Queens,578000.0,1.0,956.0,604.0,,,CONDO
27 Sanford Avenue UNIT 6I,Queens,630000.0,1.0,1107.0,569.0,,,CONDO
20 Parsons Boulevard UNIT 2C,Queens,590000.0,2.0,737.0,800.0,,,CONDO
27 Sanford Avenue UNIT 7E,Queens,605000.0,1.0,1001.0,604.0,,,CONDO
27 Tryon Pl,Queens,1849999.0,5.0,697.0,2652.0,,,SINGLE_FAMILY
27 Sanford Avenue UNIT 5E,Queens,585000.0,1.0,968.0,604.0,,,CONDO
Chevy Chase,Queens,2559000.0,3.0,,,1998.0,sqft,SINGLE_FAMILY
27 Sanford Avenue UNIT 4S,Queens,648000.0,1.0,1128.0,574.0,,,CONDO
Highland Ave UNIT 4A,Queens,120000.0,0.0,266.0,450.0,,,CONDO
31 38 Avenue UNIT A38,Queens,328000.0,1.0,461.0,711.0,,,CONDO
49 168 St UNIT 1C,Queens,279000.0,2.0,253.0,1100.0,,,CONDO
27 Sanford Avenue UNIT 4O,Queens,623000.0,1.0,1134.0,549.0,,,CONDO
27 Sanford Avenue UNIT 3P,Queens,475000.0,0.0,1117.0,425.0,,,CONDO
51 86th Avenue,Queens,1190000.0,6.0,383.0,3100.0,4880.0,sqft,MULTI_FAMILY
27 Sanford Avenue UNIT 2O,Queens,560000.0,1.0,1089.0,514.0,,,CONDO
15 165th St APT 5H,Queens,135000.0,0.0,245.0,550.0,,,CONDO
27 Sanford Avenue UNIT 2N,Queens,790000.0,2.0,1038.0,761.0,,,CONDO
67 Village Rd #57GA,Queens,160000.0,1.0,,,,,CONDO
09 84th Road,Queens,699000.0,3.0,546.0,1280.0,2000.0,sqft,SINGLE_FAMILY
160th St,Queens,1699999.0,16.0,,,4000.0,sqft,MULTI_FAMILY
Village Road UNIT 57GA,Queens,160000.0,1.0,,,,,CONDO
Sanford Avenue UNIT 6C,Queens,239000.0,0.0,478.0,500.0,,,CONDO
Six Qns Blvd #B1,Queens,379999.0,2.0,441.0,860.0,,,CONDO
19 183 Street,Queens,1430000.0,5.0,,,1300.0,sqft,MULTI_FAMILY
20 26th Avenue UNIT 4C,Queens,299000.0,2.0,332.0,900.0,,,CONDO
01 Queens Boulevard UNIT 15H,Queens,1400000.0,2.0,,,,,CONDO
169th St APT 211,Queens,210000.0,1.0,247.0,850.0,,,CONDO
21 146th Street,Queens,1665888.0,8.0,,,7800.0,sqft,MULTI_FAMILY
78th Ave,Queens,2089000.0,4.0,836.0,2498.0,4647.0,sqft,SINGLE_FAMILY
26 41st Avenue UNIT 9A,Queens,768000.0,2.0,,,,,CONDO
06 Queens Boulevard UNIT B1,Queens,379999.0,2.0,441.0,860.0,,,CONDO
15 165 Street UNIT 4H,Queens,138500.0,0.0,263.0,525.0,,,CONDO
20 Parsons Boulevard UNIT 1L,Queens,369000.0,2.0,,,,,CONDO
34 113th St APT 4F,Queens,529000.0,2.0,440.0,1200.0,,,CONDO
165th St,Queens,929000.0,3.0,464.0,2000.0,1999.0,sqft,SINGLE_FAMILY
15 113th St APT 2O,Queens,389000.0,1.0,,,,,CONDO
10 89 Avenue UNIT 14C,Queens,170000.0,1.0,226.0,750.0,,,CONDO
17 Union Tpke,Queens,950000.0,3.0,475.0,2000.0,,,CONDO
Union Tpke APT 9B,Queens,429000.0,2.0,,,,,CONDO
66 Austin St APT 4H,Queens,695000.0,3.0,868.0,800.0,,,CONDO
25 Union Turnpike,Queens,1399000.0,4.0,717.0,1951.0,2206.0,sqft,SINGLE_FAMILY
Continental Ave APT 3D,Queens,299888.0,0.0,,,,,CONDO
11 Queens Blvd #3H,Queens,747000.0,2.0,574.0,1300.0,,,CONDO
Burns St APT 3,Queens,459000.0,1.0,612.0,750.0,,,CONDO
14 Austin St #5H,Queens,279000.0,1.0,360.0,775.0,,,CONDO
Austin St APT 2G,Queens,385900.0,1.0,454.0,850.0,,,CONDO
Burns St APT 59,Queens,830000.0,2.0,978.0,848.0,,,CONDO
67 161st Street,Queens,1995000.0,6.0,,,5280.0,sqft,MULTI_FAMILY
179th St,Queens,1348000.0,4.0,842.0,1600.0,4000.0,sqft,SINGLE_FAMILY
24 89th Avenue UNIT A,Queens,450000.0,1.0,461.0,975.0,,,CONDO
16 Homelawn NE UNIT 1,Queens,191000.0,1.0,,,,,CONDO
45 162 Street,Queens,2650000.0,5.0,,,6000.0,sqft,SINGLE_FAMILY
86 153rd Street LOT 47,Queens,2150000.0,,,,4008.0,sqft,LOT
17 Sanford Ave #4A,Queens,595000.0,2.0,734.0,810.0,,,CONDO
Farmers Blvd,Queens,899000.0,6.0,408.0,2200.0,2900.0,sqft,MULTI_FAMILY
Tudor Rd,Queens,2100000.0,3.0,1193.0,1760.0,7840.0,sqft,SINGLE_FAMILY
41 38th Ave UNIT D11,Queens,320000.0,1.0,,,,,CONDO
08 Farmers,Queens,899000.0,6.0,408.0,2200.0,2900.0,sqft,MULTI_FAMILY
11 Tudor Road,Queens,2100000.0,3.0,1193.0,1760.0,7865.0,sqft,SINGLE_FAMILY
46 41 Avenue UNIT 2D,Queens,867000.0,1.0,918.0,944.0,,,CONDO
22 144th Road,Queens,750000.0,,689.0,1088.0,,,SINGLE_FAMILY
40 34th Avenue UNIT 4A,Queens,580000.0,2.0,747.0,776.0,,,CONDO
24 165 Street,Queens,1039000.0,4.0,492.0,2108.0,5040.0,sqft,SINGLE_FAMILY
15 Murray Street,Queens,1850000.0,6.0,,,3531.0,sqft,MULTI_FAMILY
06 Devonshire Road UNIT 4C,Queens,229000.0,1.0,260.0,880.0,,,CONDO
144th Road,Queens,750000.0,4.0,500.0,1500.0,,,SINGLE_FAMILY
21 37 Avenue UNIT 3C,Queens,688000.0,2.0,,,,,CONDO
33 Kruger Road,Queens,2080000.0,5.0,667.0,3114.0,6000.0,sqft,SINGLE_FAMILY
12 128th Avenue,Queens,625000.0,3.0,,,2156.0,sqft,SINGLE_FAMILY
Cherry Ave,Queens,2100000.0,7.0,888.0,2363.0,5410.0,sqft,SINGLE_FAMILY
Mayfield Rd,Queens,1025000.0,3.0,799.0,1282.0,4862.0,sqft,SINGLE_FAMILY
136th Ave,Queens,799000.0,4.0,598.0,1336.0,3200.0,sqft,SINGLE_FAMILY
30 170 Street,Queens,1590000.0,6.0,,,4000.0,sqft,MULTI_FAMILY
15 Mayfield Road,Queens,1025000.0,3.0,,,5904.0,sqft,SINGLE_FAMILY
52 176 Street,Queens,1100000.0,3.0,578.0,1900.0,6000.0,sqft,SINGLE_FAMILY
63 35 Avenue UNIT 3K,Queens,399000.0,2.0,,,,,CONDO
03 Grand Central Parkway,Queens,1398000.0,4.0,590.0,2368.0,9074.0,sqft,SINGLE_FAMILY
132nd Ave,Queens,729999.0,4.0,198.0,3680.0,3680.0,sqft,SINGLE_FAMILY
Northern Blvd APT 4N,Queens,399900.0,0.0,892.0,448.0,,,CONDO
12 175 St UNIT 4B,Queens,515000.0,2.0,,,,,CONDO
28 136th Avenue,Queens,799000.0,4.0,,,3200.0,sqft,SINGLE_FAMILY
05 Roosevelt Ave #536,Queens,350000.0,1.0,,,,,CONDO
22 Irwin Place,Queens,630000.0,3.0,393.0,1600.0,1400.0,sqft,SINGLE_FAMILY
12 175 St UNIT 4A,Queens,515000.0,2.0,,,,,CONDO
14 26 Ave UNIT 5H,Queens,435000.0,3.0,391.0,1112.0,,,CONDO
07 119 Road,Queens,950000.0,6.0,,,1154.0,sqft,MULTI_FAMILY
27 169 Street UNIT 4B,Queens,164000.0,1.0,,,,,CONDO
11 Parsons Boulevard UNIT 7O,Queens,348000.0,1.0,,,,,CONDO
177th St,Queens,550000.0,0.0,399.0,1378.0,3450.0,sqft,SINGLE_FAMILY
00 170th St #3,Queens,129900.0,1.0,,,,,CONDO
18 35th Avenue,Queens,1100000.0,5.0,252.0,4362.0,3000.0,sqft,MULTI_FAMILY
38 174th Street,Queens,950000.0,5.0,316.0,3000.0,6000.0,sqft,MULTI_FAMILY
38 Village Road UNIT 98A,Queens,320000.0,1.0,455.0,703.0,,,CONDO
16 35th Avenue,Queens,1700000.0,5.0,389.0,4362.0,3000.0,sqft,MULTI_FAMILY
25 127th Avenue,Queens,1175000.0,6.0,,,4200.0,sqft,MULTI_FAMILY
89th Ave APT 4G,Queens,159000.0,1.0,,,,,CONDO
25 141st Street UNIT 6D,Queens,298000.0,2.0,313.0,950.0,,,CONDO
15 N Conduit Avenue,Queens,989000.0,6.0,412.0,2400.0,4060.0,sqft,MULTI_FAMILY
170th UNIT 6k,Queens,165000.0,1.0,,,,,CONDO
41st Ave UNIT 4D,Queens,888000.0,1.0,940.0,944.0,,,CONDO
24 Leslie Road,Queens,565000.0,3.0,315.0,1790.0,2000.0,sqft,SINGLE_FAMILY
50 169th Street UNIT 102,Queens,345000.0,2.0,345.0,1000.0,,,CONDO
10 150 Street UNIT 4S,Queens,300000.0,2.0,,,,,CONDO
38 Garrett Street,Queens,1100000.0,6.0,,,4736.0,sqft,MULTI_FAMILY
29 180th Street,Queens,799000.0,4.0,,,2470.0,sqft,SINGLE_FAMILY
149th St,Queens,2270000.0,6.0,,,3480.0,sqft,MULTI_FAMILY
51 173rd Street,Queens,560000.0,2.0,,,3300.0,sqft,SINGLE_FAMILY
26 175th Street UNIT 5D,Queens,479000.0,2.0,479.0,1000.0,,,CONDO
31 38 Ave UNIT A54,Queens,369000.0,1.0,,,,,CONDO
67 Anderson Rd,Queens,699999.0,4.0,437.0,1600.0,2000.0,sqft,SINGLE_FAMILY
Barclay Ave #L,Queens,338000.0,0.0,563.0,600.0,,,CONDO
27 134th Ave,Queens,620000.0,4.0,522.0,1186.0,3706.0,sqft,SINGLE_FAMILY
05 Roosevelt Avenue UNIT 721,Queens,215000.0,0.0,,,,,CONDO
05 Roosevelt Avenue UNIT 409,Queens,425000.0,1.0,,,,,CONDO
10 Crocheron Ave APT 4L,Queens,319000.0,1.0,,,,,CONDO
02 Sanford Avenue,Queens,1699000.0,6.0,,,4167.0,sqft,MULTI_FAMILY
35 38 Avenue UNIT B63,Queens,209000.0,0.0,,,,,CONDO
40 38th Ave UNIT 6F,Queens,308000.0,1.0,,,,,CONDO
48 172 Street UNIT 55,Queens,225000.0,1.0,,,,,CONDO
62 34th Ave,Queens,1799000.0,7.0,,,,,MULTI_FAMILY
40 41st Ave #2B,Queens,385000.0,1.0,700.0,550.0,,,CONDO
11 Parsons Boulevard UNIT 7G,Queens,259000.0,1.0,332.0,780.0,,,CONDO
07 Northern Boulevard,Queens,750000.0,,,,5363.0,sqft,LOT
40 41st Ave #6F,Queens,195000.0,0.0,433.0,450.0,,,CONDO
35th Ave,Queens,1880000.0,5.0,430.0,4362.0,3001.0,sqft,MULTI_FAMILY
33rd Ave,Queens,1358000.0,4.0,617.0,2200.0,5150.0,sqft,SINGLE_FAMILY
12 33rd Avenue,Queens,1358000.0,4.0,617.0,2200.0,5150.0,sqft,SINGLE_FAMILY
20 26th Ave APT 5G,Queens,255000.0,1.0,340.0,750.0,,,CONDO
28 Barclay Avenue UNIT 8B,Queens,779000.0,2.0,779.0,1000.0,,,CONDO
27 164th Street,Queens,1188000.0,3.0,,,4000.0,sqft,SINGLE_FAMILY
Ascan Ave,Queens,1450000.0,4.0,783.0,1850.0,1800.0,sqft,MULTI_FAMILY
40 Union St #17-A,Queens,599000.0,1.0,958.0,625.0,,,CONDO
50 78th Ave APT 4F,Queens,629000.0,2.0,,,,,CONDO
35 39th Ave APT 17H,Queens,2498000.0,3.0,1377.0,1813.0,,,CONDO
36 113th St APT 6V,Queens,369000.0,1.0,,,,,CONDO
63 35 Avenue UNIT 6K,Queens,349000.0,2.0,,,,,CONDO
10 150th St UNIT L3,Queens,320000.0,1.0,,,,,CONDO
31 73rd Rd #6J,Queens,315000.0,1.0,315.0,1000.0,,,CONDO
30 Sanford Avenue UNIT 4A,Queens,450000.0,2.0,,,,,CONDO
14 Ascan Ave APT 2C,Queens,419000.0,2.0,380.0,1100.0,,,CONDO
80 Sanford Avenue UNIT 3C,Queens,475000.0,2.0,431.0,1100.0,,,CONDO
35 113th St #6J,Queens,298000.0,1.0,,,,,CONDO
09 Northern Blvd #3J,Queens,680000.0,2.0,644.0,1055.0,,,CONDO
20 73rd Ave #3H,Queens,465000.0,1.0,465.0,1000.0,,,CONDO
27 Sanford Avenue UNIT 3M,Queens,645000.0,1.0,1123.0,574.0,,,CONDO
20 Austin St APT 4F,Queens,270000.0,1.0,,,,,CONDO
30 Sanford Ave #3P,Queens,329000.0,1.0,387.0,850.0,,,CONDO
15 113th St APT 6C,Queens,448000.0,2.0,,,,,CONDO
05 Roosevelt Ave APT 436,Queens,458000.0,0.0,508.0,900.0,,,CONDO
26 147 St UNIT 5,Queens,579000.0,1.0,890.0,650.0,,,CONDO
63 37 Avenue UNIT 1D,Queens,479000.0,1.0,,,,,CONDO
20 147 Street UNIT 9A,Queens,628000.0,2.0,705.0,890.0,,,CONDO
26 Northern Blvd #11A,Queens,1220000.0,2.0,1252.0,974.0,,,CONDO
26 Northern Blvd #11B,Queens,986000.0,1.0,1275.0,773.0,,,CONDO
14 Union St #4B,Queens,299888.0,2.0,315.0,950.0,,,CONDO
26/24 145th Place,Queens,2388000.0,11.0,562.0,4248.0,4500.0,sqft,MULTI_FAMILY
56 172 Street,Queens,1288000.0,5.0,,,6000.0,sqft,MULTI_FAMILY
05 Northern Boulevard UNIT 3F,Queens,359000.0,2.0,,,,,CONDO
05 Roosevelt Ave #614,Queens,739000.0,3.0,591.0,1250.0,,,CONDO
149th St APT 2O,Queens,309000.0,1.0,,,,,CONDO
27 39 Avenue UNIT 3J,Queens,830000.0,1.0,1358.0,611.0,,,CONDO
27 Sanford Avenue UNIT 7J,Queens,575000.0,1.0,1168.0,492.0,,,CONDO
27 Sanford Avenue UNIT 5G,Queens,695000.0,2.0,1061.0,655.0,,,CONDO
55 34th Avenue UNIT 2L,Queens,839000.0,3.0,645.0,1300.0,0.9583,acres,CONDO
05 Roosevelt Ave UNIT 521,Queens,258000.0,0.0,469.0,550.0,,,CONDO
89 38th Ave #3A,Queens,558000.0,1.0,,,,,CONDO
09 28th Avenue UNIT 6A,Queens,268000.0,1.0,357.0,750.0,,,CONDO
34 189 Street,Queens,1259000.0,3.0,,,3500.0,sqft,MULTI_FAMILY
05 Roosevelt Ave #538,Queens,385000.0,1.0,550.0,700.0,,,CONDO
22 147th Street UNIT 2D,Queens,499000.0,1.0,848.0,588.0,9990.0,sqft,CONDO
38th Ave #B37,Queens,425000.0,2.0,,,,,CONDO
27 Sanford Avenue UNIT 3B,Queens,485000.0,1.0,1068.0,454.0,,,CONDO
27 Sanford Avenue UNIT 3G,Queens,685000.0,2.0,1045.0,655.0,,,CONDO
27 Sanford Avenue UNIT 5B,Queens,495000.0,1.0,1090.0,454.0,,,CONDO
67 Anderson Rd #1,Queens,699000.0,4.0,436.0,1600.0,,,CONDO
70 41 Ave. UNIT 4P,Queens,339000.0,1.0,,,,,CONDO
09 145th Drive,Queens,799000.0,4.0,475.0,1680.0,3280.0,sqft,SINGLE_FAMILY
27 Sanford Avenue UNIT 3J,Queens,545000.0,1.0,1107.0,492.0,,,CONDO
45 Barclay Avenue UNIT L3,Queens,338000.0,0.0,,,,,CONDO
57 176th Street,Queens,1139000.0,3.0,466.0,2442.0,4500.0,sqft,SINGLE_FAMILY
Highland Ave APT 607,Queens,175000.0,1.0,196.0,889.0,,,CONDO
Elm Ave,Queens,1368000.0,3.0,596.0,2295.0,2500.0,sqft,SINGLE_FAMILY
60 Crandall Avenue,Queens,749000.0,3.0,,,2470.0,sqft,SINGLE_FAMILY
Highland Ave APT 602,Queens,170000.0,1.0,,,,,CONDO
Leslie Rd,Queens,625000.0,3.0,434.0,1440.0,2000.0,sqft,SINGLE_FAMILY
Tudor Rd,Queens,1788000.0,4.0,811.0,2204.0,6017.0,sqft,SINGLE_FAMILY
127th Ave,Queens,1175000.0,6.0,1041.0,1128.0,3049.0,sqft,MULTI_FAMILY
25 Tudor Road,Queens,1788000.0,4.0,811.0,2204.0,6017.0,sqft,SINGLE_FAMILY
Merrill St,Queens,699000.0,4.0,467.0,1495.0,4000.0,sqft,SINGLE_FAMILY
17 179th,Queens,949000.0,4.0,,,2850.0,sqft,MULTI_FAMILY
65 177th Street,Queens,699990.0,3.0,,,2500.0,sqft,SINGLE_FAMILY
62 Village Rd #102GA,Queens,250000.0,1.0,,,,,CONDO
53 128th Avenue,Queens,729000.0,4.0,,,2324.0,sqft,MULTI_FAMILY
16 168 Street,Queens,3300000.0,9.0,,,3000.0,sqft,MULTI_FAMILY
71 Broadway,Queens,869999.0,6.0,,,2178.0,sqft,MULTI_FAMILY
50 169th St #606,Queens,298000.0,2.0,496.0,600.0,,,CONDO
139th Rd,Queens,780000.0,3.0,319.0,2443.0,4325.0,sqft,SINGLE_FAMILY
11 Parsons Blvd,Queens,1499000.0,6.0,749.0,2000.0,3000.0,sqft,MULTI_FAMILY
15 Troutville Road,Queens,699000.0,3.0,408.0,1710.0,1748.0,sqft,MULTI_FAMILY
31 Village Rd #49GA,Queens,190000.0,1.0,126.0,1504.0,,,CONDO
12 178 Street,Queens,1200000.0,7.0,,,4000.0,sqft,MULTI_FAMILY
Grand Central Pkwy,Queens,829999.0,3.0,519.0,1598.0,2800.0,sqft,SINGLE_FAMILY
50 78th Ave APT 3N,Queens,329000.0,1.0,,,,,CONDO
14 167 Street UNIT B1,Queens,359000.0,3.0,443.0,809.0,0.8691,acres,CONDO
169th St,Queens,119999.0,0.0,1.0,93000.0,1.4601,acres,CONDO
35 113th St APT 6H,Queens,459000.0,2.0,,,,,CONDO
15 179th St,Queens,619000.0,3.0,,,1999.0,sqft,SINGLE_FAMILY
54 161st Street,Queens,839000.0,4.0,647.0,1296.0,2442.0,sqft,SINGLE_FAMILY
11 Queens Blvd #18E,Queens,545000.0,1.0,,,,,CONDO
35 171st Street,Queens,665000.0,4.0,,,4000.0,sqft,SINGLE_FAMILY
11 76th Drive,Queens,2400000.0,3.0,,,4700.0,sqft,SINGLE_FAMILY
Bennett St,Queens,899000.0,5.0,537.0,1672.0,3570.0,sqft,MULTI_FAMILY
17 Union Tpke APT 10G,Queens,350000.0,1.0,,,,,CONDO
20 27 Avenue,Queens,938000.0,4.0,,,3100.0,sqft,MULTI_FAMILY
02 Austin Street UNIT 5B,Queens,319000.0,1.0,425.0,750.0,,,CONDO
Continental Ave APT 3M,Queens,340000.0,0.0,755.0,450.0,,,CONDO
62 113th Street,Queens,2580000.0,14.0,,,3358.0,sqft,MULTI_FAMILY
15 113th Street UNIT 3-l,Queens,439000.0,2.0,,,,,CONDO
31 149 Street UNIT 1L,Queens,239000.0,0.0,398.0,600.0,,,CONDO
(undisclosed Address),Queens,1450000.0,6.0,,,5000.0,sqft,SINGLE_FAMILY
15 33rd Avenue,Queens,1950000.0,5.0,,,1875.0,sqft,MULTI_FAMILY
09 Northern Boulevard UNIT 5G,Queens,1050000.0,4.0,600.0,1750.0,,,CONDO
26 Northern Boulevard UNIT 10D,Queens,615000.0,1.0,1250.0,492.0,,,CONDO
15 164th Street,Queens,1990000.0,11.0,,,2500.0,sqft,MULTI_FAMILY
41 Sanford Ave. UNIT 5D,Queens,295000.0,1.0,,,,,CONDO
37th Avenue UNIT 3D,Queens,378000.0,1.0,420.0,900.0,,,CONDO
27 Sanford Avenue UNIT 2F,Queens,620000.0,2.0,946.0,655.0,,,CONDO
11 166th St,Queens,1100000.0,3.0,743.0,1480.0,,,SINGLE_FAMILY
05 Roosevelt Ave #520,Queens,339000.0,1.0,,,,,CONDO
20 Highland Ave #6-J,Queens,125000.0,0.0,,,,,CONDO
07 Sanford Ave #3A,Queens,585000.0,3.0,354.0,1652.0,,,CONDO
05 Roosevelt Ave UNIT 520,Queens,339000.0,1.0,,,,,CONDO
