price,monthly_payment,"Median household income (in 2022 dollars), 2018-2022",bedroom_number,property_type,Borough,can_afford
1800000.0,11626.945956099311,,4.0,SINGLE_FAMILY,Queens,0
725000.0,4683.075454540001,,4.0,SINGLE_FAMILY,Queens,0
258888.0,1672.264880379244,,1.0,APARTMENT,Queens,0
299000.0,1931.364911596497,,2.0,CONDO,Queens,0
325000.0,2099.3096865179314,,2.0,CONDO,Queens,0
184000.0,1188.532253290152,,0.0,SINGLE_FAMILY,Queens,0
235000.0,1517.9623887129658,,1.0,CONDO,Queens,0
338000.0,2183.282073978649,,2.0,CONDO,Queens,0
246000.0,1589.0159473335723,,1.0,CONDO,Queens,0
325000.0,2099.3096865179314,,0.0,SINGLE_FAMILY,Queens,0
155000.0,1001.209235108552,,0.0,CONDO,Queens,0
789000.0,5096.477977423532,,4.0,SINGLE_FAMILY,Queens,0
295000.0,1905.5272539162759,,2.0,CONDO,Queens,0
260000.0,1679.447749214345,,2.0,CONDO,Queens,0
729000.0,4708.9131122202225,,3.0,SINGLE_FAMILY,Queens,0
995000.0,6427.117347954897,,4.0,SINGLE_FAMILY,Queens,0
799000.0,5161.072121624084,,3.0,MULTI_FAMILY,Queens,0
349000.0,2254.3356325992554,,3.0,CONDO,Queens,0
865000.0,5587.3934733477245,,3.0,TOWNHOUSE,Queens,0
1100000.0,7105.355862060691,,5.0,MULTI_FAMILY,Queens,0
540000.0,3488.0837868297936,,3.0,SINGLE_FAMILY,Queens,0
1299000.0,8390.779331651669,,8.0,MULTI_FAMILY,Queens,0
1100000.0,7105.355862060691,,6.0,MULTI_FAMILY,Queens,0
279000.0,1802.1766231953934,,1.0,CONDO,Queens,0
399000.0,2577.3063536020145,,2.0,SINGLE_FAMILY,Queens,0
1299000.0,8390.779331651669,,5.0,MULTI_FAMILY,Queens,0
679000.0,4385.9423912174625,,3.0,MULTI_FAMILY,Queens,0
799000.0,5161.072121624084,,3.0,SINGLE_FAMILY,Queens,0
499990.0,3229.642615883386,,2.0,SINGLE_FAMILY,Queens,0
215000.0,1388.7741003118622,,1.0,CONDO,Queens,0
670000.0,4327.8076614369675,,4.0,SINGLE_FAMILY,Queens,0
295000.0,1905.5272539162759,,2.0,CONDO,Queens,0
669000.0,4321.348247016911,,3.0,SINGLE_FAMILY,Queens,0
335000.0,2163.9038307184837,,2.0,CONDO,Queens,0
590000.0,3811.0545078325517,,2.0,MULTI_FAMILY,Queens,0
295000.0,1905.5272539162759,,2.0,SINGLE_FAMILY,Queens,0
1399900.0,9042.534246635238,,10.0,MULTI_FAMILY,Queens,0
699000.0,4515.130679618566,,3.0,SINGLE_FAMILY,Queens,0
1158000.0,7480.00189842389,,7.0,MULTI_FAMILY,Queens,0
505000.0,3262.0042821278626,,2.0,SINGLE_FAMILY,Queens,0
1275000.0,8235.753385570346,,5.0,MULTI_FAMILY,Queens,0
799000.0,5161.072121624084,,3.0,MULTI_FAMILY,Queens,0
579000.0,3740.000949211945,,3.0,SINGLE_FAMILY,Queens,0
749000.0,4838.101400621325,,4.0,MULTI_FAMILY,Queens,0
1279000.0,8261.591043250568,,6.0,MULTI_FAMILY,Queens,0
699900.0,4520.944152596616,,3.0,SINGLE_FAMILY,Queens,0
561000.0,3623.731489650952,,3.0,SINGLE_FAMILY,Queens,0
1065000.0,6879.276357358761,,5.0,MULTI_FAMILY,Queens,0
650000.0,4198.619373035863,,4.0,MULTI_FAMILY,Queens,0
649000.0,4192.159958615808,,3.0,CONDO,Queens,0
469990.0,3035.8601832817308,,2.0,SINGLE_FAMILY,Queens,0
765000.0,4941.452031342208,,4.0,MULTI_FAMILY,Queens,0
799000.0,5161.072121624084,,4.0,SINGLE_FAMILY,Queens,0
719000.0,4644.31896801967,,4.0,MULTI_FAMILY,Queens,0
489000.0,3158.6536514069808,,6.0,MULTI_FAMILY,Queens,0
979000.0,6323.766717234015,,6.0,MULTI_FAMILY,Queens,0
699777.0,4520.149644622949,,3.0,MULTI_FAMILY,Queens,0
599000.0,3869.1892376130486,,4.0,SINGLE_FAMILY,Queens,0
649000.0,4192.159958615808,,5.0,MULTI_FAMILY,Queens,0
579000.0,3740.000949211945,,3.0,SINGLE_FAMILY,Queens,0
650000.0,4198.619373035863,,2.0,SINGLE_FAMILY,Queens,0
549999.0,3552.671471615926,,3.0,SINGLE_FAMILY,Queens,0
699000.0,4515.130679618566,,4.0,MULTI_FAMILY,Queens,0
574000.0,3707.7038771116704,,3.0,SINGLE_FAMILY,Queens,0
669000.0,4321.348247016911,,4.0,SINGLE_FAMILY,Queens,0
475000.0,3068.2218495262077,,3.0,SINGLE_FAMILY,Queens,0
759000.0,4902.695544821877,,3.0,MULTI_FAMILY,Queens,0
200000.0,1291.8828840110348,,4.0,MULTI_FAMILY,Queens,0
1200000.0,7751.297304066208,,8.0,MULTI_FAMILY,Queens,0
934999.0,6039.546023337168,,6.0,MULTI_FAMILY,Queens,0
675000.0,4360.104733537241,,4.0,SINGLE_FAMILY,Queens,0
565000.0,3649.5691473311736,,3.0,SINGLE_FAMILY,Queens,0
252888.0,1633.5083938589128,,2.0,CONDO,Queens,0
949000.0,6129.98428463236,,6.0,MULTI_FAMILY,Queens,0
199000.0,1285.4234695909795,,0.0,CONDO,Queens,0
575000.0,3714.163291531725,,3.0,TOWNHOUSE,Queens,0
199900.0,1291.236942569029,,1.0,CONDO,Queens,0
1480000.0,9559.933341681657,,3.0,SINGLE_FAMILY,Queens,0
225000.0,1453.3682445124139,,2.0,CONDO,Queens,0
242000.0,1563.178289653352,,2.0,CONDO,Queens,0
1200000.0,7751.297304066208,,5.0,MULTI_FAMILY,Queens,0
719000.0,4644.31896801967,,3.0,SINGLE_FAMILY,Queens,0
229000.0,1479.205902192635,,1.0,CONDO,Queens,0
154888.0,1000.4857806935057,,0.0,APARTMENT,Queens,0
1259000.0,8132.402754849463,,6.0,MULTI_FAMILY,Queens,0
650000.0,4198.619373035863,,2.0,CONDO,Queens,0
1499000.0,9682.662215662704,,6.0,MULTI_FAMILY,Queens,0
245000.0,1582.5565329135175,,1.0,CONDO,Queens,0
599999.0,3875.642192618684,,2.0,CONDO,Queens,0
1375000.0,8881.694827575864,,4.0,APARTMENT,Queens,0
899000.0,5807.013563629602,,4.0,MULTI_FAMILY,Queens,0
769000.0,4967.289689022429,,4.0,SINGLE_FAMILY,Queens,0
630000.0,4069.4310846347603,,3.0,SINGLE_FAMILY,Queens,0
330000.0,2131.606758618208,,2.0,CONDO,Queens,0
330000.0,2131.606758618208,,2.0,CONDO,Queens,0
472000.0,3048.8436062660417,,1.0,CONDO,Queens,0
1189000.0,7680.243745445602,,6.0,MULTI_FAMILY,Queens,0
499000.0,3223.2477956075318,,3.0,CONDO,Queens,0
699000.0,4515.130679618566,,3.0,SINGLE_FAMILY,Queens,0
699000.0,4515.130679618566,,3.0,SINGLE_FAMILY,Queens,0
265000.0,1711.744821314621,,1.0,CONDO,Queens,0
269000.0,1737.5824789948417,,1.0,CONDO,Queens,0
269000.0,1737.5824789948417,,1.0,CONDO,Queens,0
1249000.0,8067.808610648913,,5.0,MULTI_FAMILY,Queens,0
157700.0,1018.649654042701,,2.0,CONDO,Queens,0
265000.0,1711.744821314621,,2.0,CONDO,Queens,0
215000.0,1388.7741003118622,,1.0,CONDO,Queens,0
850000.0,5490.502257046897,,3.0,SINGLE_FAMILY,Queens,0
850000.0,5490.502257046897,,4.0,SINGLE_FAMILY,Queens,0
170000.0,1098.1004514093795,,0.0,CONDO,Queens,0
525000.0,3391.192570528966,,3.0,SINGLE_FAMILY,Queens,0
1199000.0,7744.837889646154,,6.0,MULTI_FAMILY,Queens,0
799000.0,5161.072121624084,,4.0,SINGLE_FAMILY,Queens,0
689000.0,4450.536535418015,,3.0,SINGLE_FAMILY,Queens,0
948000.0,6123.5248702123035,,2.0,SINGLE_FAMILY,Queens,0
829000.0,5354.854554225739,,4.0,SINGLE_FAMILY,Queens,0
350000.0,2260.795047019311,,3.0,SINGLE_FAMILY,Queens,0
1350000.0,8720.209467074485,,6.0,MULTI_FAMILY,Queens,0
799000.0,5161.072121624084,,5.0,SINGLE_FAMILY,Queens,0
420000.0,2712.954056423173,,2.0,SINGLE_FAMILY,Queens,0
1500000.0,9689.121630082758,,4.0,MULTI_FAMILY,Queens,0
689000.0,4450.536535418015,,2.0,SINGLE_FAMILY,Queens,0
775000.0,5006.04617554276,,3.0,MULTI_FAMILY,Queens,0
195000.0,1259.5858119107588,,1.0,CONDO,Queens,0
199000.0,1285.4234695909795,,1.0,CONDO,Queens,0
515000.0,3326.5984263284145,,1.0,CONDO,Queens,0
949000.0,6129.98428463236,,6.0,MULTI_FAMILY,Queens,0
424000.0,2738.791714103394,,1.0,CONDO,Queens,0
869000.0,5613.231131027946,,4.0,MULTI_FAMILY,Queens,0
424000.0,2738.791714103394,,1.0,CONDO,Queens,0
230000.0,1485.66531661269,,1.0,CONDO,Queens,0
780000.0,5038.343247643035,,3.0,SINGLE_FAMILY,Queens,0
349000.0,2254.3356325992554,,3.0,CONDO,Queens,0
888000.0,5735.960005008994,,7.0,MULTI_FAMILY,Queens,0
